total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,reference_Q_mean,rollout/Q_mean,eval/return_history,train/loss_actor,total/steps,rollout/episode_steps,rollout/actions_mean,eval/Q,total/duration,total/steps_per_second,train/param_noise_distance,ret_rms_std,rollout/return_history,eval/return,reference_actor_Q_std,reference_action_std,rollout/actions_std,param_noise_stddev,reference_perturbed_action_mean,reference_Q_std,obs_rms_std,eval/episodes,train/loss_critic,rollout/return,obs_rms_mean,total/epochs,rollout/episodes,ret_rms_mean,reference_action_mean
506.0,0.585503101348877,251.1420135498047,243.0727996826172,232.40631103515625,611.5944417457864,-321.056884765625,166000,327.9604743083004,0.5360761284828186,346.3770446777344,1907.0212547779083,87.04674873659567,0.2191595882177353,1.0,663.553364583689,1020.2428685067513,126.2747802734375,0.5404290556907654,0.5470823049545288,0.021529912675834345,0.5074704885482788,129.0635528564453,1.0579484701156616,166.0,77.45620727539062,427.3491000972289,0.08975087851285934,166,506.0,0.0,0.607519805431366
507.0,0.5701887011528015,254.807373046875,247.05418395996094,232.99449157714844,616.4043142393953,-327.1037902832031,167000,329.2859960552268,0.5354827642440796,374.2991027832031,1921.096389055252,86.92952678034364,0.171962708234787,1.0,670.577205370687,1186.658549564782,124.75040435791016,0.5752776861190796,0.5468035340309143,0.022404113465423047,0.5502262711524963,127.04684448242188,1.056400179862976,167.0,126.05769348144531,428.776317517536,0.08974923193454742,167,507.0,0.0,0.5427958965301514
509.0,0.545565664768219,251.73899841308594,245.18682861328125,233.60494995117188,615.1929737949425,-328.2133483886719,168000,329.93320235756386,0.5350919961929321,322.45538330078125,1933.858206987381,86.87296689746202,0.16857995092868805,1.0,669.0688114605261,550.0281103021412,127.29857635498047,0.528407633304596,0.5471135973930359,0.021962663920618613,0.6202345490455627,129.3443603515625,1.0566720962524414,168.0,166.98428344726562,429.06696424628996,0.08956015855073929,168,509.0,0.0,0.6046072840690613
511.0,0.5424332618713379,249.41204833984375,243.32540893554688,234.24624633789062,614.7703743255147,-324.7949523925781,169000,329.58708414872797,0.5350637435913086,330.1618957519531,1946.7076020240784,86.81324294633832,0.1850704550743103,1.0,665.4209898346754,448.2572393917543,130.6875457763672,0.5333955883979797,0.5472800135612488,0.02285443614607805,0.5711349844932556,132.0494384765625,1.056530475616455,169.0,64.13192749023438,428.5039094749686,0.08950725942850113,169,511.0,0.0,0.589415967464447
513.0,0.5730472803115845,249.96182250976562,242.9050750732422,234.9541473388672,621.2958969507835,-330.4874572753906,170000,331.0233918128655,0.5344122052192688,336.0621643066406,1960.8102462291718,86.69885335764972,0.1957116723060608,1.0,673.4947165960804,987.4793809560637,130.5776824951172,0.49722251296043396,0.5476908683776855,0.02285443614607805,0.5254936814308167,132.62120056152344,1.0569263696670532,170.0,35.824180603027344,430.72424709417044,0.08941657096147537,170,513.0,0.0,0.6433152556419373
516.0,0.4889945983886719,252.08749389648438,244.94187927246094,235.40370178222656,627.709827055684,-327.2814025878906,171000,331.2403100775194,0.534200131893158,334.0884094238281,1973.7012479305267,86.63925210530095,0.23343205451965332,1.0,666.5196820725948,959.7292964840528,128.97756958007812,0.5200696587562561,0.5478841066360474,0.02378241789989777,0.6798827052116394,130.8514404296875,1.0587928295135498,171.0,112.9658432006836,430.7315313725727,0.08914298564195633,171,516.0,0.0,0.6245914697647095
517.0,0.5143631100654602,247.7618408203125,240.79937744140625,236.1616668701172,637.0977302083834,-325.6265563964844,172000,331.3268858800774,0.534069299697876,345.0711364746094,1987.7468304634094,86.53013420220175,0.22117406129837036,1.0,668.0456627109833,1074.2758666287602,130.47512817382812,0.4374505281448364,0.5481153130531311,0.023313810312614223,0.6418638825416565,132.51123046875,1.059593677520752,172.0,65.8553237915039,430.8884476591967,0.08915006369352341,172,517.0,0.0,0.6782491207122803
518.0,0.47373855113983154,240.89869689941406,233.50833129882812,236.71604919433594,636.1752963068882,-326.2952575683594,173000,332.6177606177606,0.533738374710083,331.3924255371094,2000.4701056480408,86.47967270870946,0.17320773005485535,1.0,679.9723997761229,413.5810664050102,134.9468994140625,0.512699544429779,0.5481273531913757,0.023313810312614223,0.6495299339294434,136.47402954101562,1.061234712600708,173.0,58.60381317138672,433.16457382192135,0.08881480991840363,173,518.0,0.0,0.6064720749855042
520.0,0.5589660406112671,245.154541015625,237.8127899169922,237.30841064453125,645.1373461577608,-327.02215576171875,174000,333.69038461538463,0.5327255129814148,368.2160339355469,2016.531341791153,86.28678185851908,0.17005705833435059,1.0,683.0778779083558,1553.8980072683744,132.41384887695312,0.4328746199607849,0.5485389232635498,0.023313810312614223,0.5220052599906921,134.44801330566406,1.0617573261260986,174.0,39.9225959777832,434.0910178248747,0.08866672217845917,174,520.0,0.0,0.6965079307556152
521.0,0.4857310950756073,245.35609436035156,237.84173583984375,237.99159240722656,656.7283237978355,-325.1856994628906,175000,334.1362763915547,0.5327855944633484,392.92254638671875,2033.4265356063843,86.06162894781619,0.17232872545719147,1.0,684.9347592927597,1601.941300866582,131.4099884033203,0.5084015727043152,0.5484107136726379,0.02378241789989777,0.6381987929344177,134.01844787597656,1.0611966848373413,175.0,82.0625991821289,435.5537764204918,0.0889303982257843,175,521.0,0.0,0.621849775314331
