rollout/actions_mean,reference_action_std,rollout/episode_steps,eval/return_history,obs_rms_std,obs_rms_mean,train/loss_critic,total/steps_per_second,reference_perturbed_action_std,total/duration,reference_Q_std,rollout/actions_std,eval/Q,reference_actor_Q_mean,total/episodes,eval/return,train/param_noise_distance,total/steps,train/loss_actor,ret_rms_std,eval/episodes,reference_Q_mean,reference_action_mean,rollout/episodes,param_noise_stddev,total/epochs,reference_actor_Q_std,rollout/Q_mean,reference_perturbed_action_mean,rollout/return,ret_rms_mean,rollout/return_history
0.3148037791252136,0.6969185471534729,53.16504854368932,284.6460993537621,5.79396915435791,2.1533780097961426,30.524211883544922,86.3765575370082,0.6923125386238098,127.34936785697937,84.42100524902344,0.6404286623001099,184.188232421875,202.99388122558594,206.0,216.0262768117725,0.20519384741783142,11000,-194.01312255859375,1.0,11.0,196.12786865234375,0.32052847743034363,206.0,0.023313810312614227,11,81.49784088134766,106.93856048583984,0.33229634165763855,264.10936511135543,0.0,303.31389960091303
0.3242298662662506,0.714750349521637,54.76146788990825,295.40813162301816,5.793152332305908,2.161281108856201,34.44770812988281,86.33595999274925,0.707699716091156,138.9919102191925,95.85914611816406,0.6426591277122498,230.9035186767578,212.93060302734375,218.0,413.79048658483515,0.19065767526626587,12000,-208.5209197998047,1.0,12.0,206.06863403320312,0.304617315530777,218.0,0.023313810312614227,12,93.0605239868164,115.31410217285156,0.34159237146377563,271.75191332061826,0.0,319.6651727994077
0.33237817883491516,0.7119047045707703,55.532188841201716,294.5771923732895,5.7704267501831055,2.178077220916748,37.06527328491211,86.39987916746166,0.7010087370872498,150.46317338943481,103.38423156738281,0.6458160877227783,211.2046661376953,226.7447052001953,233.0,284.6059213765457,0.2042912244796753,13000,-216.7713623046875,1.0,13.0,218.08590698242188,0.28816452622413635,233.0,0.02240411346542305,13,99.88926696777344,123.08694458007812,0.29340165853500366,275.26663480491356,0.0,328.9209219636099
0.332805335521698,0.7170196771621704,55.745019920318725,292.1356347111622,5.7455925941467285,2.1868889331817627,44.73074722290039,86.3935354894703,0.7123084664344788,162.04916167259216,109.31365203857422,0.6520545482635498,229.520751953125,239.3170166015625,251.0,260.3953851035065,0.21478505432605743,14000,-228.5469207763672,1.0,14.0,230.31951904296875,0.3230641186237335,251.0,0.021962663920618616,14,106.63446044921875,130.40394592285156,0.30872559547424316,277.4959071741404,0.0,329.9521467905875
0.3288678824901581,0.7392268776893616,56.47924528301887,293.6576311008085,5.7754316329956055,2.182821035385132,52.133365631103516,86.36813020476212,0.7362505197525024,173.67517352104187,121.65546417236328,0.6587814092636108,212.72616577148438,248.63177490234375,265.0,314.9655805558567,0.1982848346233368,15000,-234.57879638671875,1.0,15.0,238.7505340576172,0.2991020679473877,265.0,0.021962663920618616,15,118.6924819946289,138.1765899658203,0.2750048339366913,280.9387580192214,0.0,338.1566040318407
0.33025190234184265,0.7326656579971313,56.88967971530249,292.96632480672076,5.791396141052246,2.184845209121704,72.62146759033203,86.41434232777645,0.7212014198303223,185.1544497013092,131.01026916503906,0.662832498550415,209.28280639648438,256.1424255371094,281.0,282.5967303954054,0.18840275704860687,16000,-249.34307861328125,1.0,16.0,245.6807098388672,0.3322806656360626,281.0,0.02152991267583435,16,127.386474609375,144.06161499023438,0.33958664536476135,282.64221983415337,0.0,336.1484734201724
0.32915014028549194,0.7161965370178223,57.47796610169492,295.54911730005483,5.8177313804626465,2.1797401905059814,100.3850326538086,86.44826573661194,0.7042614817619324,196.64940476417542,136.16799926757812,0.6664480566978455,305.11419677734375,266.944091796875,295.0,336.8737971933994,0.18399080634117126,17000,-256.00372314453125,1.0,17.0,255.63034057617188,0.3881373107433319,295.0,0.02152991267583435,17,132.41702270507812,151.1793975830078,0.3848198354244232,285.7043480448959,0.0,334.3320560729254
0.3293614387512207,0.749934732913971,57.3961661341853,294.8771046011095,5.936358451843262,2.173862934112549,109.69681549072266,86.49551207132777,0.7479600310325623,208.10328269004822,139.05810546875,0.6702418327331543,266.8509216308594,279.7978820800781,313.0,283.45288871903944,0.22336962819099426,18000,-264.2505187988281,1.0,18.0,267.92852783203125,0.3221404552459717,313.0,0.02152991267583435,18,135.92987060546875,157.34938049316406,0.3286696672439575,285.63901900536814,0.0,319.7745394832162
0.3261367380619049,0.7425388693809509,57.14156626506024,299.125552792188,5.957179069519043,2.1653940677642822,109.13299560546875,86.47246130503275,0.7351283431053162,219.72313165664673,145.15843200683594,0.6748802065849304,363.0299377441406,285.5286865234375,332.0,375.5976202316004,0.19070523977279663,19000,-266.94952392578125,1.0,19.0,274.3792419433594,0.2957810163497925,332.0,0.02152991267583435,19,142.97640991210938,163.45516967773438,0.3106367588043213,284.8240709235761,0.0,307.8365342346927
0.32506445050239563,0.7129722237586975,57.163323782234954,298.2540076549616,6.168663501739502,2.153972864151001,122.57307434082031,86.51706355669072,0.7338480353355408,231.1682710647583,149.3228302001953,0.6780907511711121,284.7989196777344,284.5195617675781,349.0,281.69465004766096,0.19286605715751648,20000,-274.18023681640625,1.0,20.0,271.5242919921875,0.4165443480014801,349.0,0.0211056883401964,20,147.86721801757812,170.33689880371094,0.38479650020599365,284.8510726368031,0.0,303.93197297647566
