rollout/episodes,train/loss_critic,rollout/return_history,reference_perturbed_action_std,total/steps_per_second,rollout/Q_mean,train/param_noise_distance,param_noise_stddev,rollout/episode_steps,reference_action_mean,rollout/return,reference_actor_Q_std,eval/return,total/epochs,rollout/actions_std,reference_Q_mean,obs_rms_mean,reference_action_std,ret_rms_std,reference_actor_Q_mean,total/episodes,rollout/actions_mean,reference_Q_std,ret_rms_mean,eval/Q,total/steps,eval/episodes,train/loss_actor,total/duration,obs_rms_std,reference_perturbed_action_mean,eval/return_history
33.0,2.2338147163391113,156.62117190043165,0.7342209219932556,91.66474965581322,31.54583740234375,0.21528634428977966,0.026270585008002556,1000.0,-0.00852667260915041,156.62117190043165,7.425230026245117,1456.8858187275364,33,0.6981929540634155,68.90532684326172,0.06525343656539917,0.7404449582099915,1.0,70.09591674804688,33.0,0.1185847669839859,7.2893195152282715,0.0,84.64038848876953,33000,33.0,-72.1232681274414,360.00752878189087,1.520848035812378,-0.028296003118157387,423.84980282237746
34.0,6.997464179992676,180.93094110657876,0.7288360595703125,91.63280633104903,33.13715744018555,0.19764123857021332,0.026270585008002556,1000.0,0.020229607820510864,180.93094110657876,8.066617012023926,1249.690466796544,34,0.6966084241867065,70.79385375976562,0.06598266214132309,0.7448380589485168,1.0,72.17354583740234,34.0,0.12106765806674957,8.044509887695312,0.0,87.78665924072266,34000,34.0,-74.9521484375,371.04614996910095,1.5227117538452148,0.044118791818618774,448.1392341157353
35.0,5.846385478973389,199.48041690593934,0.7385432124137878,91.63288775119622,34.67862319946289,0.1924128234386444,0.026798623766663407,1000.0,-0.05443271994590759,199.48041690593934,8.29784107208252,1079.5544682675927,35,0.6952869296073914,74.1169204711914,0.06722501665353775,0.746155321598053,1.0,75.18247985839844,35.0,0.12286537140607834,7.934144973754883,0.0,90.34414672851562,35000,35.0,-78.04630279541016,381.95893263816833,1.5364526510238647,-0.036820847541093826,466.1796693772169
36.0,3.6701607704162598,223.14880905414066,0.7220333218574524,91.64328735755707,36.25664520263672,0.17817382514476776,0.026270585008002556,1000.0,-0.06830545514822006,223.14880905414066,8.853118896484375,1122.79181141838,36,0.6939916610717773,76.18427276611328,0.06827163696289062,0.7593093514442444,1.0,77.28079223632812,36.0,0.12413990497589111,8.649712562561035,0.0,93.35381317138672,36000,36.0,-81.0064697265625,392.8274621963501,1.5489729642868042,0.02448129653930664,484.418895545027
37.0,7.678448677062988,245.508990652748,0.7349535822868347,91.65205963131709,37.837039947509766,0.18182522058486938,0.02575295069895359,1000.0,0.029391467571258545,245.508990652748,9.519880294799805,1214.2522779094913,37,0.6926515698432922,77.87033081054688,0.0695987194776535,0.7353922724723816,1.0,79.28298950195312,37.0,0.12609384953975677,9.132122993469238,0.0,96.21195220947266,37000,37.0,-84.42916870117188,403.70069313049316,1.556134581565857,0.035236429423093796,504.1441220954179
38.0,12.613968849182129,225.05289643301282,0.7195129990577698,91.62914416201968,38.004310607910156,0.15549668669700623,0.02575295069895359,1000.0,0.0915587916970253,225.05289643301282,10.007041931152344,1143.1974503021968,38,0.6987684369087219,81.47030639648438,0.07549938559532166,0.7213671207427979,1.0,82.9677734375,38.0,0.13938429951667786,9.615006446838379,0.0,99.85424041748047,38000,38.0,-86.88390350341797,414.71521258354187,1.547474980354309,0.11348973959684372,520.9613149429647
39.0,6.184556484222412,216.0579274179673,0.730469822883606,91.61157041678163,38.68665313720703,0.19187791645526886,0.02575295069895359,1000.0,0.0027096495032310486,216.0579274179673,9.50736141204834,1014.8901931321395,39,0.7014654278755188,84.31129455566406,0.07857056707143784,0.7323806285858154,1.0,85.86250305175781,39.0,0.14637631177902222,9.698040008544922,0.0,101.747802734375,39000,39.0,-88.10675811767578,425.7104187011719,1.546217918395996,0.058487121015787125,533.6261579734563
40.0,9.10205364227295,229.7210770478428,0.7684613466262817,91.63357596741999,40.25018310546875,0.19338160753250122,0.025245515830755405,1000.0,-0.10268304497003555,229.7210770478428,8.93394947052002,1343.788983392995,40,0.6999613046646118,87.22559356689453,0.07933170348405838,0.7743304371833801,1.0,89.302490234375,40.0,0.14831383526325226,9.562362670898438,0.0,105.30777740478516,40000,40.0,-90.6355209350586,436.52121591567993,1.5495457649230957,-0.09859845787286758,553.8802286089449
41.0,14.938907623291016,251.06013442701337,0.7503746747970581,91.63631796661235,41.85761642456055,0.23630645871162415,0.023782417899897774,1000.0,-0.06974852830171585,251.06013442701337,9.080506324768066,1398.2538392412675,41,0.7007284760475159,90.56755065917969,0.07990492135286331,0.7559762597084045,1.0,91.88201904296875,41.0,0.1491975039243698,8.953359603881836,0.0,107.79305267333984,41000,41.0,-93.43769836425781,447.42085790634155,1.5593022108078003,-0.005684270057827234,574.4747069170503
42.0,5.504703998565674,267.52368535600027,0.7009372115135193,91.6237134661729,43.42110061645508,0.21940843760967255,0.025245515830755405,1000.0,-0.1336175948381424,267.52368535600027,8.533512115478516,1562.2670120297198,42,0.7001548409461975,93.77374267578125,0.08090566098690033,0.7136520743370056,1.0,95.23047637939453,42.0,0.152005136013031,8.640388488769531,0.0,111.1113510131836,42000,42.0,-96.42961120605469,458.39661383628845,1.5660594701766968,-0.16076335310935974,597.9935713244948
