total/episodes,train/param_noise_distance,rollout/episode_steps,rollout/Q_mean,total/epochs,eval/return,total/steps,eval/return_history,rollout/actions_mean,reference_Q_std,ret_rms_mean,ret_rms_std,rollout/episodes,train/loss_actor,eval/episodes,reference_action_mean,reference_action_std,reference_actor_Q_std,rollout/actions_std,obs_rms_std,reference_actor_Q_mean,eval/Q,rollout/return,obs_rms_mean,total/steps_per_second,reference_Q_mean,rollout/return_history,train/loss_critic,total/duration
862.0,0.0,1000.0,316.9781188964844,862,2962.498594625078,862000,2675.336205349944,-0.04214091598987579,110.33983612060547,0.0,1.0,862.0,-444.0423889160156,862.0,0.015461106784641743,0.7982373833656311,110.37476348876953,0.6622922420501709,2.203925132751465,387.8172302246094,482.7565002441406,1151.4320531902636,0.09221665561199188,81.87891444253965,384.60906982421875,1975.7860385444499,277.0980224609375,10527.740943670273
863.0,0.0,1000.0,317.16754150390625,863,2977.3634648199177,863000,2676.1721807356043,-0.042347878217697144,111.76810455322266,0.0,1.0,863.0,-443.8330078125,863.0,0.013465315103530884,0.7480757832527161,112.64128112792969,0.6623401045799255,2.203944444656372,387.1590576171875,483.4331359863281,1153.1495910540982,0.0922909751534462,81.87533696995852,383.4674987792969,1980.999751897955,246.4564971923828,10540.414634466171
864.0,0.0,1000.0,317.3536682128906,864,2725.408499301285,864000,2680.315265238343,-0.042620040476322174,112.98184204101562,0.0,1.0,864.0,-445.463623046875,864.0,-0.018067101016640663,0.8148953318595886,114.11107635498047,0.6623714566230774,2.203798294067383,390.2215576171875,485.3291015625,1154.395799420048,0.09229469299316406,81.87155613303105,386.5128173828125,1982.5582255705565,139.46990966796875,10553.115646123886
865.0,0.0,1000.0,317.52398681640625,865,3107.6773855157703,865000,2686.4413438547226,-0.042666856199502945,112.41544342041016,0.0,1.0,865.0,-445.8570556640625,865.0,-0.08073536306619644,0.8147597312927246,113.3948745727539,0.6623568534851074,2.2040116786956787,388.85626220703125,483.6478576660156,1155.0809250694253,0.09232406318187714,81.86776179090243,384.0445251464844,1986.7149409459423,458.0910949707031,10565.819573879242
866.0,0.0,1000.0,317.7088623046875,866,3070.2869951733555,866000,2686.961670531966,-0.042761579155921936,112.12037658691406,0.0,1.0,866.0,-444.04119873046875,866.0,-0.01968967355787754,0.7710303068161011,112.50303649902344,0.6623536944389343,2.2040936946868896,389.1253356933594,487.95623779296875,1156.5011015601624,0.09237280488014221,81.86306579896049,386.2249755859375,1994.6822418315744,274.35675048828125,10578.641192436218
867.0,0.0,1000.0,317.8867492675781,867,2065.604139320262,867000,2678.8207613052095,-0.04268514737486839,111.87761688232422,0.0,1.0,867.0,-444.94073486328125,867.0,-0.1043897271156311,0.7598332762718201,112.30680084228516,0.6623186469078064,2.2039053440093994,391.5550231933594,408.2867126464844,1157.3268481004006,0.09240016341209412,81.85942575284537,387.8710632324219,1989.0410474448106,339.5645751953125,10591.327657461166
868.0,0.0,1000.0,318.0772399902344,868,3082.127439466899,868000,2691.3008202535716,-0.04268664866685867,112.43734741210938,0.0,1.0,868.0,-446.34503173828125,868.0,-0.2062888890504837,0.7032050490379333,111.91027069091797,0.6623371839523315,2.2042129039764404,389.95770263671875,488.081787109375,1159.1054433962238,0.09249680489301682,81.85563789378803,387.2901306152344,2000.405407084582,351.3702392578125,10604.034399271011
869.0,0.0,1000.0,318.2703552246094,869,3046.394853794136,869000,2694.133730447606,-0.04291287809610367,110.85852813720703,0.0,1.0,869.0,-448.9873352050781,869.0,0.011786364018917084,0.7176795601844788,110.5840072631836,0.6623799204826355,2.2043044567108154,388.0472412109375,485.7838439941406,1160.8809045583575,0.0925578773021698,81.85169392547698,384.788818359375,2012.012981756934,273.3800048828125,10616.762565612793
870.0,0.0,1000.0,318.443359375,870,3013.1216800141133,870000,2696.0115980063933,-0.04294233396649361,111.522705078125,0.0,1.0,870.0,-448.6510009765625,870.0,-0.09226927161216736,0.7737604975700378,111.79658508300781,0.6624271869659424,2.204857110977173,390.59906005859375,488.5014953613281,1161.8282097013766,0.09261982887983322,81.84812493972652,387.2415466308594,2012.3076192763804,258.24285888671875,10629.443260192871
871.0,0.0,1000.0,318.63653564453125,871,2668.5236738152303,871000,2697.0135483438835,-0.04303255304694176,111.27111053466797,0.0,1.0,871.0,-449.1872253417969,871.0,-0.22401636838912964,0.7793715000152588,112.44752502441406,0.66237872838974,2.2047905921936035,390.7795715332031,486.764892578125,1163.5414837854985,0.09269187599420547,81.84426466149232,386.228515625,2019.5941879184056,229.04884338378906,10642.162937164307
872.0,0.0,1000.0,318.8216247558594,872,3071.404095919315,872000,2703.3193500409834,-0.04304204508662224,113.1549072265625,0.0,1.0,872.0,-450.2337951660156,872.0,-0.08474234491586685,0.7261541485786438,113.56863403320312,0.6622931957244873,2.2048122882843018,392.14605712890625,492.2639465332031,1164.715602248373,0.09274119138717651,81.83967390472961,389.04254150390625,2026.0958649351044,216.3550262451172,10654.97891664505
873.0,0.0,1000.0,319.005126953125,873,3025.128944938597,873000,2708.9978720919466,-0.0431421734392643,111.56512451171875,0.0,1.0,873.0,-449.1135559082031,873.0,-0.1816616654396057,0.7522523999214172,112.06918334960938,0.6623079180717468,2.20479154586792,392.7681884765625,490.2284851074219,1165.8380810878298,0.09279254078865051,81.83515150727028,388.88427734375,2027.017322935024,257.3894958496094,10667.787422895432
874.0,0.0,1000.0,319.19873046875,874,3024.766675963895,874000,2711.77557727956,-0.04326038435101509,112.0416259765625,0.0,1.0,874.0,-453.24078369140625,874.0,-0.20254957675933838,0.7096275091171265,112.42249298095703,0.6622977256774902,2.2047290802001953,395.46136474609375,492.20849609375,1167.5902640999848,0.09286899864673615,81.83125426917228,392.3336181640625,2034.2151002467563,13.693968772888184,10680.51574921608
875.0,0.0,1000.0,319.3815002441406,875,2988.8065533937965,875000,2716.269388076294,-0.043075960129499435,111.09957885742188,0.0,1.0,875.0,-452.735107421875,875.0,-0.1522926241159439,0.7592445611953735,111.41939544677734,0.6622841954231262,2.204996109008789,397.3163146972656,492.2041015625,1168.7636015874277,0.09295688569545746,81.82745340408427,394.4246826171875,2035.1223817226999,292.093994140625,10693.232693910599
