eval/episodes,reference_perturbed_action_mean,total/duration,train/loss_critic,reference_perturbed_action_std,reference_actor_Q_std,reference_actor_Q_mean,rollout/return,obs_rms_std,total/steps,reference_Q_std,reference_action_std,rollout/episodes,total/epochs,total/steps_per_second,eval/return,reference_action_mean,eval/Q,obs_rms_mean,eval/return_history,rollout/Q_mean,rollout/actions_mean,rollout/return_history,ret_rms_mean,reference_Q_mean,train/loss_actor,train/param_noise_distance,total/episodes,rollout/actions_std,param_noise_stddev,rollout/episode_steps,ret_rms_std
13.0,0.48342058062553406,115.52857232093811,4.788328170776367,0.6961983442306519,25.047439575195312,32.55841827392578,130.23602196181935,1.381034016609192,13000,24.33100700378418,0.7062299251556396,101.0,13,112.52627587127131,149.81572350387728,0.43320322036743164,74.76192474365234,0.012709508650004864,87.33692638087658,34.47635269165039,0.6536813378334045,131.41881152105964,0.0,30.208778381347656,-56.99382019042969,0.1849459707736969,101.0,0.4992220401763916,0.02426044449968572,128.56435643564356,1.0
14.0,0.525996208190918,124.17580008506775,5.013766765594482,0.6750534772872925,27.29692268371582,37.78773498535156,129.83004206943383,1.4603976011276245,14000,26.634897232055664,0.7104180455207825,112.0,14,112.74338470466205,150.55411744797624,0.5237736105918884,88.40522766113281,0.005922728683799505,91.85244002852656,37.18404006958008,0.6448084712028503,145.12326962638846,0.0,35.020652770996094,-62.656097412109375,0.21761099994182587,112.0,0.5091728568077087,0.02426044449968572,124.78571428571429,1.0
15.0,0.4145083725452423,132.87623715400696,6.961003303527832,0.7621109485626221,30.27256965637207,41.114959716796875,131.38744833227182,1.5199624300003052,15000,29.61020278930664,0.7919727563858032,125.0,15,112.88700162855015,164.10672530819537,0.3868705928325653,83.09501647949219,0.009047780185937881,96.66939238050448,40.198707580566406,0.6395778059959412,154.3192842526065,0.0,38.456085205078125,-67.6973648071289,0.23362953960895538,125.0,0.5141851902008057,0.02575295069895359,119.904,1.0
16.0,0.5419090390205383,141.70396995544434,6.926044940948486,0.6523891687393188,33.17048645019531,43.79148483276367,134.627811886891,1.5731115341186523,16000,32.269596099853516,0.6623995304107666,136.0,16,112.91144493009507,214.92573814177118,0.5277495980262756,98.87821197509766,0.004990115761756897,104.06041399058365,43.35466766357422,0.6308407783508301,161.60399246388704,0.0,40.60615158081055,-73.16065979003906,0.2477593719959259,136.0,0.5218818187713623,0.026798623766663407,117.45588235294117,1.0
17.0,0.5248610377311707,150.53541111946106,11.196739196777344,0.6455234289169312,36.47749710083008,47.91700744628906,138.01034431787076,1.6102744340896606,17000,35.495609283447266,0.6808937788009644,146.0,17,112.93023929438924,196.19864902862113,0.47770512104034424,103.89923858642578,0.0026143246795982122,109.48031016929174,46.60258865356445,0.6214162707328796,174.7726652054924,0.0,44.379581451416016,-79.93679809570312,0.19173426926136017,146.0,0.5283814668655396,0.02575295069895359,116.13013698630137,1.0
18.0,0.5441216230392456,159.56608414649963,12.89782428741455,0.6292479038238525,39.31992721557617,50.106239318847656,141.08160255124662,1.6426637172698975,18000,37.8642463684082,0.6433281898498535,154.0,18,112.80592674990991,289.52092981791714,0.5294506549835205,110.1839370727539,-0.006050979718565941,119.48256681643758,49.512454986572266,0.6094273924827576,172.7851578887875,0.0,46.39387130737305,-83.84332275390625,0.21560803055763245,154.0,0.5369296669960022,0.026270585008002556,115.98051948051948,1.0
19.0,0.4688837230205536,168.5414080619812,13.575757026672363,0.6588924527168274,43.40297317504883,59.26688766479492,138.43482130285696,1.676585078239441,19000,42.314579010009766,0.6670998930931091,163.0,19,112.73194058645065,202.95741310823956,0.5072060227394104,109.0801010131836,-0.01105869933962822,123.875979779164,51.447566986083984,0.6034883260726929,161.78725789590914,0.0,54.875511169433594,-93.35853576660156,0.23337194323539734,163.0,0.5404885411262512,0.026270585008002556,116.33742331288343,1.0
20.0,0.697699248790741,177.4141023159027,15.599483489990234,0.5332335829734802,47.67495346069336,61.408382415771484,139.913545202913,1.700040340423584,20000,46.27588653564453,0.6197364926338196,170.0,20,112.73061013147701,135.49512311550265,0.5714343786239624,110.70870971679688,-0.011956672184169292,124.45693694598094,54.14573669433594,0.5975381731987,161.26388941313076,0.0,57.779911041259766,-96.86654663085938,0.24667298793792725,170.0,0.5443025827407837,0.026270585008002556,117.0,1.0
21.0,0.594880998134613,186.33533430099487,18.887985229492188,0.6096362471580505,49.515289306640625,60.9210205078125,142.8227502900122,1.7264257669448853,21000,48.07106018066406,0.6191232800483704,177.0,21,112.70004199030693,140.6124825474486,0.5775155425071716,87.3027572631836,-0.017085731029510498,125.22624864128892,56.586177825927734,0.5910153985023499,162.8136364745441,0.0,57.04229736328125,-103.9381332397461,0.2062726765871048,177.0,0.5491823554039001,0.024748079434129402,118.5819209039548,1.0
22.0,0.6101787686347961,195.4956226348877,24.474138259887695,0.5970496535301208,52.55942153930664,68.81845092773438,143.8793597548724,1.743248462677002,22000,51.0150146484375,0.6046323776245117,183.0,22,112.53448902581172,356.27718584530743,0.6302160620689392,143.3349609375,-0.021723467856645584,135.7285639687443,59.29673767089844,0.5875229835510254,162.1397993785691,0.0,63.810855865478516,-106.67010498046875,0.187423974275589,183.0,0.5520705580711365,0.025245515830755405,119.64480874316939,1.0
